"DayMoYr","Jdays","WeekSubWeek","ti","tf","Events","Q.Ave","T.Hrs","Vol","Q.Max","Cluster","EventLabel","Volday.L","SmpHrs","ConcSmOut_ugL.obs","ConcSmOut_ugL.sd","SmOut_ug.obs","SmOut_ug.sd","delta.obs","delta.sd"
2016-03-28,180,"W0-1",2016-03-25 12:04:00,"2016-03-28 22:36:00","0-2",1.21351066613737,82.5333333333333,100.155080311871,1.38038798407296,1,NA,28799.7174832897,22.6333333333333,0.245659365,0.000741838714465936,7074.92030912435,21.3647453947858,NA,NA
2016-03-28,180,"W0-2x",2016-03-28 22:38:00,"2016-03-30 12:16:00","0-3",1.28471939896462,37.6333333333333,48.3482733810351,1.63778159364155,1,NA,1759.27246383102,1.36666666666667,NA,NA,NA,NA,NA,NA
2016-03-29,181,"W0-2x",2016-03-28 22:38:00,"2016-03-30 12:16:00","0-3",1.28471939896462,37.6333333333333,48.3482733810351,1.63778159364155,1,NA,29590.4178722679,24,NA,NA,NA,NA,NA,NA
2016-03-30,182,"W0-2x",2016-03-28 22:38:00,"2016-03-30 12:16:00","0-3",1.28471939896462,37.6333333333333,48.3482733810351,1.63778159364155,1,NA,16998.5830449363,12.3,NA,NA,NA,NA,NA,NA
2016-03-30,182,"W1-1",2016-03-30 12:18:00,"2016-03-31 15:34:00","1-1",14.3166474978249,27.2666666666667,390.367255107358,38.3997898080141,1,NA,29097.4285813462,11.7,6.788246322,0.0214654267694316,197520.512546981,624.588722391654,-31.4666666666667,0.115470053837927
2016-03-31,183,"W1-1",2016-03-30 12:18:00,"2016-03-31 15:34:00","1-1",14.3166474978249,27.2666666666667,390.367255107358,38.3997898080141,1,NA,361269.826526011,15.6,6.788246322,0.0138252388072055,2452388.57116478,4994.6416255598,-31.4666666666667,0.115470053837927
2016-03-31,183,"W1-2",2016-03-31 15:36:00,"2016-04-01 14:44:00","1-2",15.5292991375118,23.1333333333333,359.244453381107,18.6689719182762,1,NA,125317.843656116,8.4,6.560998197,0.0120259730727389,822210.146279704,1507.06901334216,-31.6666666666667,0.152752523165195
2016-04-01,184,"W1-2",2016-03-31 15:36:00,"2016-04-01 14:44:00","1-2",15.5292991375118,23.1333333333333,359.244453381107,18.6689719182762,1,NA,233926.609724991,14.7666666666667,6.560998197,0.00907193970040636,1534792.06463599,2122.16809774561,-31.6666666666667,0.152752523165195
2016-04-01,184,"W1-3x",2016-04-01 14:46:00,"2016-04-05 15:06:00","1-3",9.1077197661138,96.3333333333333,877.377004135629,15.8956400764712,1,NA,139533.662388185,9.23333333333333,NA,NA,NA,NA,NA,NA
2016-04-02,185,"W1-3x",2016-04-01 14:46:00,"2016-04-05 15:06:00","1-3",9.1077197661138,96.3333333333333,877.377004135629,15.8956400764712,1,NA,298173.578432551,24,NA,NA,NA,NA,NA,NA
2016-04-03,186,"W1-3x",2016-04-01 14:46:00,"2016-04-05 15:06:00","1-3",9.1077197661138,96.3333333333333,877.377004135629,15.8956400764712,1,NA,195667.972181916,24,NA,NA,NA,NA,NA,NA
2016-04-04,187,"W1-3x",2016-04-01 14:46:00,"2016-04-05 15:06:00","1-3",9.1077197661138,96.3333333333333,877.377004135629,15.8956400764712,1,NA,149424.590354145,24,NA,NA,NA,NA,NA,NA
2016-04-05,188,"W1-3x",2016-04-01 14:46:00,"2016-04-05 15:06:00","1-3",9.1077197661138,96.3333333333333,877.377004135629,15.8956400764712,1,NA,94577.2007788316,15.1333333333333,NA,NA,NA,NA,NA,NA
2016-04-05,188,"W2-1",2016-04-05 15:08:00,"2016-04-06 14:50:00","2-1",14.6057392958147,23.7,346.156021310809,19.1639337349349,1,NA,133027.937634459,8.86666666666667,9.444301877,0.0208974911578186,1256356.00109456,2779.95015045894,-31.1333333333333,0.0577350269189613
2016-04-06,189,"W2-2",2016-04-06 14:52:00,"2016-04-08 00:36:00","2-2",10.5582550913991,33.7333333333333,356.165138416531,14.316238838125,1,NA,117740.217293907,9.13333333333333,1.042188295,0.00236245415618668,122707.476314467,278.155865696314,-31.28,0.506951674225463
2016-04-06,189,"W2-1",2016-04-05 15:08:00,"2016-04-06 14:50:00","2-1",14.6057392958147,23.7,346.156021310809,19.1639337349349,1,NA,213128.083676351,14.8666666666667,9.444301877,0.0158046767047892,2012845.96070597,3368.42045921598,-31.1333333333333,0.0577350269189613
2016-04-07,190,"W2-2",2016-04-06 14:52:00,"2016-04-08 00:36:00","2-2",10.5582550913991,33.7333333333333,356.165138416531,14.316238838125,1,NA,233374.119175948,24,1.042188295,0.00146676240649404,243219.775361108,342.304384655939,-31.28,0.506951674225463
2016-04-08,191,"W2-2",2016-04-06 14:52:00,"2016-04-08 00:36:00","2-2",10.5582550913991,33.7333333333333,356.165138416531,14.316238838125,1,NA,5050.80194667583,0.633333333333333,1.042188295,0.0089564795573478,5263.88666918876,45.2374043836145,-31.28,0.506951674225463
2016-04-08,191,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,167549.945709044,23.3666666666667,NA,NA,NA,NA,NA,NA
2016-04-09,192,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,160034.103999615,24,NA,NA,NA,NA,NA,NA
2016-04-10,193,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,133994.770592836,24,NA,NA,NA,NA,NA,NA
2016-04-11,194,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,140936.220433905,24,NA,NA,NA,NA,NA,NA
