"DayMoYr","SubWeeks","Volday.L","SmpHrs","SmOut_ug.obs","SmOut_ug.sd","OxOut_ug.obs","OxOut_ug.sd","EsOut_ug.obs","EsOut_ug.sd","ConcSmOut_ugL.obs","ConcSmOut_ugL.sd","ConcOxOut_ugL.obs","ConcOxOut_ugL.sd","ConcEsOut_ugL.obs","ConcEsOut_ugL.sd","delta.obs","delta.sd"
2016-03-25,"W0-0x",14417.1363762307,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-25,"W0-1",14260.7050857657,11.9333333333333,3503.27575582146,14.5675545478112,68795.0674042421,861.077512215001,257481.308535025,2638.30407895418,0.245659365,0.00102151713117971,4.8241,0.0603811317207932,18.0553,0.185005163705938,NA,NA
2016-03-26,"W0-1",28654.5789074788,24,7039.26565875363,20.6453079633357,138232.554107568,1220.3290786821,517367.018548202,3739.03526718683,0.245659365,0.000720488967225665,4.8241,0.0425875767577097,18.0553,0.130486484525199,NA,NA
2016-03-27,"W0-1",28440.0788353364,24,6986.57170723869,20.4845017600517,137197.784309546,1210.82394142532,513494.15539565,3709.91193968166,0.245659365,0.000720268810739018,4.8241,0.0425745634685404,18.0553,0.130446612372682,NA,NA
2016-03-28,"W0-1",28799.7174832897,22.6333333333333,7074.92030912435,21.3647453947858,138932.717111138,1262.85449992794,519987.539076041,3869.33130992464,0.245659365,0.000741838714465936,4.8241,0.0438495447276758,18.0553,0.134353099545845,NA,NA
2016-03-28,"W0-2x",1759.27246383102,1.36666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-29,"W0-2x",29590.4178722679,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-30,"W0-2x",16998.5830449363,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-30,"W1-1",29097.4285813462,11.7,197520.512546981,624.588722391654,888379.411502797,21980.5939954934,1338004.51691319,6554.05967073268,6.788246322,0.0214654267694316,30.5312,0.755413624748435,45.9836,0.225245322019086,-31.4666666666667,0.115470053837927
2016-03-31,"W1-1",361269.826526011,15.6,2452388.57116478,4994.6416255598,11030001.327631,175771.969279297,16612487.1950415,52410.7754019249,6.788246322,0.0138252388072055,30.5312,0.486539302131953,45.9836,0.145073769115759,-31.4666666666667,0.115470053837927
2016-03-31,"W1-2",125317.843656116,8.4,822210.146279704,1507.06901334216,4071890.03499634,1921.78177267876,5173183.24504629,6746.39475443871,6.560998197,0.0120259730727389,32.4925,0.0153352604594148,41.2805,0.0538342709834001,-31.6666666666667,0.152752523165195
2016-04-01,"W1-2",233926.609724991,14.7666666666667,1534792.06463599,2122.16809774561,7600860.36648928,2706.142806137,9656607.4127525,9499.8859348306,6.560998197,0.00907193970040636,32.4925,0.0115683410678178,41.2805,0.0406105399723394,-31.6666666666667,0.152752523165195
