"DayMoYr","Date","Jdays","VolTot.L","ConSmOut_ugL.blk","ConSmOut_ugL.sd","ConOxOut_ugL.blk","ConOxOut_ugL.sd","ConEsOut_ugL.blk","ConEsOut_ugL.sd","deltaOut.blk","deltaOut.sd","SubWeeks"
2015-11-29,"29/11/2015",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-30,"30/11/2015",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-01,"01/12/2015",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-02,"02/12/2015",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-03,"03/12/2015",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-04,"04/12/2015",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-05,"05/12/2015",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-06,"06/12/2015",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-07,"07/12/2015",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-08,"08/12/2015",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-09,"09/12/2015",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-10,"10/12/2015",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-11,"11/12/2015",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-12,"12/12/2015",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-13,"13/12/2015",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-14,"14/12/2015",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-15,"15/12/2015",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-16,"16/12/2015",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-17,"17/12/2015",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-18,"18/12/2015",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-19,"19/12/2015",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-20,"20/12/2015",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-21,"21/12/2015",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-22,"22/12/2015",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-23,"23/12/2015",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-24,"24/12/2015",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-25,"25/12/2015",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-26,"26/12/2015",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-27,"27/12/2015",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-28,"28/12/2015",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-29,"29/12/2015",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-30,"30/12/2015",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-31,"31/12/2015",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-01,"01/01/2016",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02,"02/01/2016",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03,"03/01/2016",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04,"04/01/2016",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05,"05/01/2016",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06,"06/01/2016",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-07,"07/01/2016",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-08,"08/01/2016",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-09,"09/01/2016",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-10,"10/01/2016",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-11,"11/01/2016",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-12,"12/01/2016",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-13,"13/01/2016",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-14,"14/01/2016",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-15,"15/01/2016",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-16,"16/01/2016",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-17,"17/01/2016",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-18,"18/01/2016",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-19,"19/01/2016",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-20,"20/01/2016",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-21,"21/01/2016",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-22,"22/01/2016",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-23,"23/01/2016",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-24,"24/01/2016",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-25,"25/01/2016",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-26,"26/01/2016",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-27,"27/01/2016",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-28,"28/01/2016",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-29,"29/01/2016",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-30,"30/01/2016",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
